update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
100,204800,5303.800545943673,39,0.020664062350988388,0.0800315693503697,0.0,0.3306249976158142,629.75,39.69807929862602,476.0,640.0,1.945801928639412,0.0028544223168864846,0.0008407467321376316,1.2139561960111678e-06,0.0002241360665411364,0.020664062350988388,0.0800315693503697,0.0,0.3306249976158142
200,409600,5209.661413096545,79,0.04106445424258709,0.10912336342249414,0.0,0.35734376311302185,619.6875,54.22835829849544,457.0,640.0,1.945695623755455,0.005087331112008542,0.0011959308467339724,1.6824414075244931e-06,0.0005188977399911026,0.04106445424258709,0.10912336342249414,0.0,0.35734376311302185
300,614400,4994.685237656376,122,0.0,0.0,0.0,0.0,640.0,0.0,640.0,640.0,1.9422279447317123,0.004590409545926377,0.0005593766109086573,0.00018434225421515293,0.002682031025308385,0.0,0.0,0.0,0.0
400,819200,5095.5947933183725,162,0.03622070327401161,0.1402821805681674,0.0,0.5795312523841858,618.6875,82.54295756604557,299.0,640.0,1.938280776143074,0.009567764587700367,-0.002625005210575182,0.000846565285428369,0.004471346703540015,0.03622070327401161,0.1402821805681674,0.0,0.5795312523841858
500,1024000,5071.476237089481,202,0.05864257924258709,0.19467586367047218,0.0,0.8017187714576721,607.1875,120.53278534801227,141.0,640.0,1.9455894976854324,0.003531740134349093,0.0006560902402270585,2.6336321354847314e-06,0.0003455949982480118,0.05864257924258709,0.19467586367047218,0.0,0.8017187714576721
600,1228800,2036.3358552640157,310,0.020927734673023224,0.08105276786246647,0.0,0.3348437547683716,629.5625,40.424263676039914,473.0,640.0,1.9451009780168533,0.00965056091081351,0.002046159759629518,3.6622993206947285e-06,0.0005958083326776088,0.020927734673023224,0.08105276786246647,0.0,0.3348437547683716
700,1433600,1833.0465149231181,425,0.09082031436264515,0.19975758080478276,0.0,0.6442187428474426,588.75,116.12735465858162,253.0,640.0,1.9332647770643234,0.017155000823549926,-0.0003273037145845592,0.0006664393731625751,0.006504443620387555,0.09082031436264515,0.19975758080478276,0.0,0.6442187428474426
800,1638400,2243.011840007019,539,0.10479492135345936,0.24617289808870435,0.0,0.9142187237739563,578.8125,151.00919622244865,61.0,640.0,1.930513471364975,0.02101283404044807,-0.0021529710065806285,0.0012071034616383258,0.01205683447492448,0.10479492135345936,0.24617289808870435,0.0,0.9142187237739563
900,1843200,1457.2662481334467,655,0.05794921703636646,0.1629663546206716,0.0,0.6667187213897705,612.125,97.15121911226848,237.0,640.0,1.9451075792312622,0.007248672365676612,0.0013986299891257659,1.8002888353407798e-06,0.0005147491130633839,0.05794921703636646,0.1629663546206716,0.0,0.6667187213897705
1000,2048000,1809.496408891162,771,0.05935546662658453,0.15760446357671387,0.0,0.6329687237739563,611.125,91.94351187006073,261.0,640.0,1.9238666892051697,0.016579321003519,0.0028639585107157473,0.0001741559499350842,0.006431580004199675,0.05935546662658453,0.15760446357671387,0.0,0.6329687237739563
1100,2252800,1563.5523510072521,887,0.06004882976412773,0.16100421673803386,0.0,0.5542187690734863,606.1875,91.36480363767002,317.0,640.0,1.9316502809524536,0.012147953966632485,0.0022531814902322367,1.3312834269640916e-05,0.0021282769485052077,0.06004882976412773,0.16100421673803386,0.0,0.5542187690734863
1200,2457600,1639.7047882798583,1003,0.11271484196186066,0.21203662186518463,0.0,0.6160937547683716,577.625,123.0187358697853,273.0,640.0,1.944998562335968,0.012244946788996458,0.0024331440508831292,2.6144343010514604e-06,0.0006758081858815933,0.11271484196186066,0.21203662186518463,0.0,0.6160937547683716
1300,2662400,2152.9656367525813,1118,0.43330078199505806,0.3925107042110477,0.0,0.9198437333106995,371.875,244.9070933537859,57.0,640.0,1.9128595888614655,0.08112529758363962,0.00794643786503002,0.0006398333061952144,0.01564346476844743,0.43330078199505806,0.3925107042110477,0.0,0.9198437333106995
1400,2867200,2164.9608355854725,1233,0.42865234427154064,0.373617724254678,0.0,0.9564062356948853,379.625,235.61830229207578,31.0,640.0,1.826519101858139,0.1298747332766652,0.00491416260774713,0.002869462943635881,0.03035178405166182,0.42865234427154064,0.373617724254678,0.0,0.9564062356948853
1500,3072000,2257.1673075599124,1350,0.9314024375706185,0.033124705183687604,0.8424999713897705,0.9817187786102295,48.78048780487805,23.555344476797256,13.0,112.0,1.4879319816827774,0.7044013887643814,-0.005786619411082938,0.003518944577081129,0.06103488744498438,0.9314024375706185,0.033124705183687604,0.8424999713897705,0.9817187786102295
1600,3276800,1750.4743214262135,1467,0.9376371162278312,0.027585371648724523,0.8382812738418579,0.9704687595367432,44.3469387755102,19.616268779586658,21.0,115.0,1.4425604343414307,0.7507077232003212,0.00309795967041282,0.002423267171252519,0.0478900394239751,0.9376371162278312,0.027585371648724523,0.8382812738418579,0.9704687595367432
